GEOLINEID,Legend_Description,GSC_SYMBOL
112002046603,fault; reverse; concealed; attitude not entered; third generation,4.02.02.004
112002046604,fault; reverse; concealed; attitude not entered; fourth generation,4.02.02.004
112002046610,fault; reverse; concealed; attitude not entered; primary generation,4.02.02.004
112002046620,fault; reverse; concealed; attitude not entered; multi-generation generation,4.02.02.004
112002046666,fault; reverse; concealed; attitude not entered; not entered generation,4.02.02.004
112002046688,fault; reverse; concealed; attitude not entered; undefined generation,4.02.02.004
112002047701,fault; reverse; concealed; attitude unknown; first generation,4.02.02.004
112002047702,fault; reverse; concealed; attitude unknown; second generation,4.02.02.004
112002047703,fault; reverse; concealed; attitude unknown; third generation,4.02.02.004
112002047704,fault; reverse; concealed; attitude unknown; fourth generation,4.02.02.004
112002047710,fault; reverse; concealed; attitude unknown; primary generation,4.02.02.004
112002047720,fault; reverse; concealed; attitude unknown; multi-generation generation,4.02.02.004
112002047766,fault; reverse; concealed; attitude unknown; not entered generation,4.02.02.004
112002047788,fault; reverse; concealed; attitude unknown; undefined generation,4.02.02.004
112003010101,fault; thrust; defined; attitude upright; first generation,4.02.03.001
112003010102,fault; thrust; defined; attitude upright; second generation,4.02.03.001
112003010103,fault; thrust; defined; attitude upright; third generation,4.02.03.001
112003010104,fault; thrust; defined; attitude upright; fourth generation,4.02.03.001
112003010110,fault; thrust; defined; attitude upright; primary generation,4.02.03.001
112003010120,fault; thrust; defined; attitude upright; multi-generation generation,4.02.03.001
112003010166,fault; thrust; defined; attitude upright; not entered generation,4.02.03.001
112003010188,fault; thrust; defined; attitude upright; undefined generation,4.02.03.001
112003010201,fault; thrust; defined; attitude overturned; first generation,4.02.04.001
112003010202,fault; thrust; defined; attitude overturned; second generation,4.02.04.001
112003010203,fault; thrust; defined; attitude overturned; third generation,4.02.04.001
112003010204,fault; thrust; defined; attitude overturned; fourth generation,4.02.04.001
112003010210,fault; thrust; defined; attitude overturned; primary generation,4.02.04.001
112003010220,fault; thrust; defined; attitude overturned; multi-generation generation,4.02.04.001
112003010266,fault; thrust; defined; attitude overturned; not entered generation,4.02.04.001
112003010288,fault; thrust; defined; attitude overturned; undefined generation,4.02.04.001
112003010301,"fault; thrust; defined; attitude upright, assumed from archival data; first generation",4.02.03.001
112003010302,"fault; thrust; defined; attitude upright, assumed from archival data; second generation",4.02.03.001
112003010303,"fault; thrust; defined; attitude upright, assumed from archival data; third generation",4.02.03.001
112003010304,"fault; thrust; defined; attitude upright, assumed from archival data; fourth generation",4.02.03.001
112003010310,"fault; thrust; defined; attitude upright, assumed from archival data; primary generation",4.02.03.001
112003010320,"fault; thrust; defined; attitude upright, assumed from archival data; multi-generation generation",4.02.03.001
112003010366,"fault; thrust; defined; attitude upright, assumed from archival data; not entered generation",4.02.03.001
