GEOPOINTID,Legend_Description,GSC_SYMBOL
2203999059902,linear; rodding; not applicable; fifth; not applicable; estimated at station,4.13.03.008
2203999059903,linear; rodding; not applicable; fifth; not applicable; estimated remotely,4.13.03.008
2203999059904,linear; rodding; not applicable; fifth; not applicable; calculated from data,4.13.03.008
2203999059905,linear; rodding; not applicable; fifth; not applicable; calculated from imagery,4.13.03.008
2203999059906,linear; rodding; not applicable; fifth; not applicable; acquired from historical data,4.13.03.007
2203999059966,linear; rodding; not applicable; fifth; not applicable; not entered,4.13.03.008
2203999109901,linear; rodding; not applicable; primary; not applicable; measured at station,4.13.03.007
2203999109902,linear; rodding; not applicable; primary; not applicable; estimated at station,4.13.03.008
2203999109903,linear; rodding; not applicable; primary; not applicable; estimated remotely,4.13.03.008
2203999109904,linear; rodding; not applicable; primary; not applicable; calculated from data,4.13.03.008
2203999109905,linear; rodding; not applicable; primary; not applicable; calculated from imagery,4.13.03.008
2203999109906,linear; rodding; not applicable; primary; not applicable; acquired from historical data,4.13.03.007
2203999109966,linear; rodding; not applicable; primary; not applicable; not entered,4.13.03.008
2203999119901,linear; rodding; not applicable; multi-generation; not applicable; measured at station,4.13.03.007
2203999119902,linear; rodding; not applicable; multi-generation; not applicable; estimated at station,4.13.03.008
2203999119903,linear; rodding; not applicable; multi-generation; not applicable; estimated remotely,4.13.03.008
2203999119904,linear; rodding; not applicable; multi-generation; not applicable; calculated from data,4.13.03.008
2203999119905,linear; rodding; not applicable; multi-generation; not applicable; calculated from imagery,4.13.03.008
2203999119906,linear; rodding; not applicable; multi-generation; not applicable; acquired from historical data,4.13.03.007
2203999119966,linear; rodding; not applicable; multi-generation; not applicable; not entered,4.13.03.008
2203999669901,linear; rodding; not applicable; not entered; not applicable; measured at station,4.13.03.007
2203999669902,linear; rodding; not applicable; not entered; not applicable; estimated at station,4.13.03.008
2203999669903,linear; rodding; not applicable; not entered; not applicable; estimated remotely,4.13.03.008
2203999669904,linear; rodding; not applicable; not entered; not applicable; calculated from data,4.13.03.008
2203999669905,linear; rodding; not applicable; not entered; not applicable; calculated from imagery,4.13.03.008
2203999669906,linear; rodding; not applicable; not entered; not applicable; acquired from historical data,4.13.03.007
2203999669966,linear; rodding; not applicable; not entered; not applicable; not entered,4.13.03.008
2203999889901,linear; rodding; not applicable; undefined; not applicable; measured at station,4.13.03.007
2203999889902,linear; rodding; not applicable; undefined; not applicable; estimated at station,4.13.03.008
2203999889903,linear; rodding; not applicable; undefined; not applicable; estimated remotely,4.13.03.008
2203999889904,linear; rodding; not applicable; undefined; not applicable; calculated from data,4.13.03.008
2203999889905,linear; rodding; not applicable; undefined; not applicable; calculated from imagery,4.13.03.008
2203999889906,linear; rodding; not applicable; undefined; not applicable; acquired from historical data,4.13.03.007
2203999889966,linear; rodding; not applicable; undefined; not applicable; not entered,4.13.03.008
2204099019901,linear; mullions; not applicable; first; not applicable; measured at station,4.13.03.011
2204099019902,linear; mullions; not applicable; first; not applicable; estimated at station,4.13.03.012
2204099019903,linear; mullions; not applicable; first; not applicable; estimated remotely,4.13.03.012
2204099019904,linear; mullions; not applicable; first; not applicable; calculated from data,4.13.03.012
2204099019905,linear; mullions; not applicable; first; not applicable; calculated from imagery,4.13.03.012
2204099019906,linear; mullions; not applicable; first; not applicable; acquired from historical data,4.13.03.011
2204099019966,linear; mullions; not applicable; first; not applicable; not entered,4.13.03.012
2204099029901,linear; mullions; not applicable; second; not applicable; measured at station,4.13.03.011
2204099029902,linear; mullions; not applicable; second; not applicable; estimated at station,4.13.03.012
2204099029903,linear; mullions; not applicable; second; not applicable; estimated remotely,4.13.03.012
2204099029904,linear; mullions; not applicable; second; not applicable; calculated from data,4.13.03.012
2204099029905,linear; mullions; not applicable; second; not applicable; calculated from imagery,4.13.03.012
2204099029906,linear; mullions; not applicable; second; not applicable; acquired from historical data,4.13.03.011
2204099029966,linear; mullions; not applicable; second; not applicable; not entered,4.13.03.012
2204099039901,linear; mullions; not applicable; third; not applicable; measured at station,4.13.03.011
2204099039902,linear; mullions; not applicable; third; not applicable; estimated at station,4.13.03.012
2204099039903,linear; mullions; not applicable; third; not applicable; estimated remotely,4.13.03.012
2204099039904,linear; mullions; not applicable; third; not applicable; calculated from data,4.13.03.012
2204099039905,linear; mullions; not applicable; third; not applicable; calculated from imagery,4.13.03.012
2204099039906,linear; mullions; not applicable; third; not applicable; acquired from historical data,4.13.03.011
2204099039966,linear; mullions; not applicable; third; not applicable; not entered,4.13.03.012
2204099049901,linear; mullions; not applicable; fourth; not applicable; measured at station,4.13.03.011
2204099049902,linear; mullions; not applicable; fourth; not applicable; estimated at station,4.13.03.012
2204099049903,linear; mullions; not applicable; fourth; not applicable; estimated remotely,4.13.03.012
2204099049904,linear; mullions; not applicable; fourth; not applicable; calculated from data,4.13.03.012
1100102100505,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; calculated from imagery",4.14.01.006
1100102100506,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; acquired from historical data",4.14.01.005
1100102100566,"planar; bedding; inclined, overturned < 180; primary; inferred, bedding-cleavage; not entered",4.14.01.006
1100102106601,"planar; bedding; inclined, overturned < 180; primary; not entered; measured at station",4.14.01.005
1100102106602,"planar; bedding; inclined, overturned < 180; primary; not entered; estimated at station",4.14.01.006
1100102106603,"planar; bedding; inclined, overturned < 180; primary; not entered; estimated remotely",4.14.01.006
1100102106604,"planar; bedding; inclined, overturned < 180; primary; not entered; calculated from data",4.14.01.006
1100102106605,"planar; bedding; inclined, overturned < 180; primary; not entered; calculated from imagery",4.14.01.006
1100102106606,"planar; bedding; inclined, overturned < 180; primary; not entered; acquired from historical data",4.14.01.005
1100102106666,"planar; bedding; inclined, overturned < 180; primary; not entered; not entered",4.14.01.006
1100102660101,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; measured at station",4.14.01.005
1100102660102,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; estimated at station",4.14.01.006
1100102660103,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; estimated remotely",4.14.01.006
1100102660104,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; calculated from data",4.14.01.006
1100102660105,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; calculated from imagery",4.14.01.006
1100102660106,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; acquired from historical data",4.14.01.005
1100102660166,"planar; bedding; inclined, overturned < 180; not entered; known, sedimentary structure; not entered",4.14.01.006
1100102660201,"planar; bedding; inclined, overturned < 180; not entered; known, igneous structure; measured at station",4.14.01.005
1100102660202,"planar; bedding; inclined, overturned < 180; not entered; known, igneous structure; estimated at station",4.14.01.006
